verb_surface,occurrences,total_args,role_direct_object,role_imperf_verb,role_prep_phrase,role_subject,role_state,role_predicate,role_imper_verb,role_past_verb,role_subject_nominal,role_cognate,role_purpose,role_specifier,role_comitative
يكسبون,14,5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
أنزلناه,14,56,4.0,7.0,25.0,3.0,5.0,2.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0
أوتي,14,56,9.0,9.0,13.0,11.0,2.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0
قلنا,14,50,3.0,3.0,22.0,0.0,1.0,3.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0
يوحى,14,47,1.0,4.0,17.0,6.0,0.0,5.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0
يرد,14,66,9.0,15.0,30.0,7.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
أرأيتم,14,63,8.0,3.0,24.0,6.0,0.0,6.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0
وأطيعوا,14,51,17.0,9.0,5.0,0.0,0.0,5.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0
أليس,13,39,2.0,3.0,16.0,1.0,1.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
صبروا,13,50,8.0,10.0,16.0,2.0,0.0,2.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0
ادخلوا,13,57,12.0,5.0,15.0,5.0,6.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0
فيقول,13,44,4.0,3.0,8.0,2.0,0.0,4.0,3.0,12.0,7.0,1.0,0.0,0.0,0.0
وقالت,13,65,0.0,0.0,23.0,11.0,1.0,9.0,3.0,11.0,6.0,1.0,0.0,0.0,0.0
أدراك,13,30,11.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
يكونوا,13,46,3.0,5.0,14.0,4.0,0.0,12.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
فانظر,13,46,3.0,4.0,16.0,0.0,1.0,9.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0
أعبد,13,42,11.0,9.0,15.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
يفعلون,13,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
يريدون,13,53,11.0,10.0,16.0,1.0,2.0,5.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0
وجدنا,13,53,17.0,3.0,22.0,1.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
يفقهون,13,8,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
تتخذوا,13,58,25.0,6.0,19.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
توعدون,13,19,2.0,2.0,9.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
واذكروا,13,56,13.0,4.0,22.0,0.0,0.0,5.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0
وعد,13,67,15.0,3.0,13.0,17.0,1.0,4.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0
يكفرون,12,31,3.0,6.0,17.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
أشركوا,12,46,7.0,9.0,8.0,4.0,0.0,2.0,1.0,12.0,2.0,0.0,0.0,1.0,0.0
أخذنا,12,61,19.0,6.0,23.0,0.0,2.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0
علم,12,49,11.0,8.0,10.0,5.0,0.0,3.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0
أرسلناك,12,30,0.0,1.0,13.0,0.0,11.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
يحيي,12,54,4.0,14.0,21.0,2.0,0.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0
يستوي,12,43,1.0,6.0,13.0,14.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
وأنزل,12,60,14.0,3.0,30.0,1.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0
يضلل,12,48,4.0,5.0,14.0,9.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
ترك,12,52,3.0,6.0,14.0,8.0,0.0,9.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0
تسمع,12,42,19.0,7.0,5.0,0.0,2.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
تكفرون,12,25,0.0,5.0,9.0,1.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
وأنزلنا,12,52,13.0,3.0,27.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
وترى,12,63,16.0,10.0,21.0,0.0,10.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
ويعلم,12,45,11.0,11.0,15.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
تاب,12,54,5.0,7.0,16.0,3.0,0.0,5.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0
يؤمنوا,12,49,4.0,8.0,19.0,4.0,2.0,1.0,1.0,7.0,2.0,0.0,1.0,0.0,0.0
رأى,12,57,11.0,3.0,12.0,3.0,2.0,4.0,1.0,15.0,6.0,0.0,0.0,0.0,0.0
اتبعوا,12,55,16.0,6.0,9.0,5.0,2.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
يرجون,11,41,11.0,4.0,11.0,1.0,0.0,6.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
وسخر,11,47,11.0,7.0,21.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
ويقول,11,50,2.0,4.0,7.0,11.0,0.0,5.0,2.0,16.0,3.0,0.0,0.0,0.0,0.0
تقول,11,42,3.0,7.0,15.0,2.0,1.0,4.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0
فاصبر,11,38,1.0,6.0,20.0,1.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
يبصرون,11,10,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
استكبروا,11,46,0.0,3.0,20.0,0.0,0.0,5.0,0.0,10.0,7.0,1.0,0.0,0.0,0.0
ساء,11,27,1.0,10.0,1.0,9.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0
كن,11,28,0.0,10.0,7.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
وعمل,11,49,12.0,7.0,8.0,3.0,1.0,5.0,0.0,3.0,8.0,2.0,0.0,0.0,0.0
يقولوا,11,45,5.0,6.0,10.0,1.0,1.0,7.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0
تأكلون,11,13,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
زين,11,55,4.0,4.0,27.0,10.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0
أنفقوا,11,48,3.0,6.0,14.0,3.0,1.0,6.0,1.0,9.0,5.0,0.0,0.0,0.0,0.0
واتبعوا,11,40,13.0,3.0,14.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0
يتخذ,11,52,18.0,7.0,20.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
وبشر,11,25,12.0,0.0,6.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
جاءك,11,50,2.0,7.0,26.0,4.0,0.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
فذوقوا,11,34,10.0,7.0,8.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
وأقيموا,11,52,22.0,4.0,9.0,1.0,1.0,1.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0
أسألكم,11,45,11.0,0.0,23.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0
تقوم,11,35,2.0,6.0,10.0,9.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
جاءت,10,41,4.0,1.0,9.0,11.0,0.0,4.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
فأخذتهم,10,41,2.0,2.0,13.0,9.0,3.0,4.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
رزقناهم,10,24,2.0,12.0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
