sentence_id,sentence,position,token,word_class,case,mark,role,root,wazn,closed_class_kind
19,جَاءَنِي الْقَوْمُ خَلَا زَيْدٍ,0,جَاءَنِي,FIIL,مَبْنِي,,فعل ماضٍ,جءن,فَاعَل,
19,جَاءَنِي الْقَوْمُ خَلَا زَيْدٍ,1,الْقَوْمُ,JAMID,مَرْفُوع,ضمة,فاعل مرفوع,,,
19,جَاءَنِي الْقَوْمُ خَلَا زَيْدٍ,2,خَلَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,OVERRIDE_AS_VERB
19,جَاءَنِي الْقَوْمُ خَلَا زَيْدٍ,3,زَيْدٍ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,زيد,فَعْلٌ,
20,إِنَّ زَيْدًا قَائِمٌ,0,إِنَّ,HARF,مَبْنِي,,حرف,,,HARF
20,إِنَّ زَيْدًا قَائِمٌ,1,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم (إِنَّ) منصوب,زدا,فَيْعِل,
20,إِنَّ زَيْدًا قَائِمٌ,2,قَائِمٌ,ISM_MUARAB,مَرْفُوع,ضمة,خبر (إنّ) مرفوع,قوم,فَائِل,
21,بَلَغَنِي أَنَّ زَيْدًا مُنْطَلِقٌ,0,بَلَغَنِي,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,لغن,فَعَلِي,
21,بَلَغَنِي أَنَّ زَيْدًا مُنْطَلِقٌ,1,أَنَّ,HARF,مَبْنِي,,حرف نصب,,,HARF_NASB
21,بَلَغَنِي أَنَّ زَيْدًا مُنْطَلِقٌ,2,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم (أَنَّ) منصوب,زدا,فَيْعِل,
21,بَلَغَنِي أَنَّ زَيْدًا مُنْطَلِقٌ,3,مُنْطَلِقٌ,ISM_MUARAB,مَرْفُوع,ضمة,خبر (إنّ) مرفوع,طلق,مُنْفَعِل,
22,كَأَنَّ زَيْدًا أَسَدٌ,0,كَأَنَّ,HARF,مَبْنِي,,حرف,,,HARF
22,كَأَنَّ زَيْدًا أَسَدٌ,1,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم (كَأَنَّ) منصوب,زدا,فَيْعِل,
22,كَأَنَّ زَيْدًا أَسَدٌ,2,أَسَدٌ,ISM_MUARAB,مَرْفُوع,ضمة,خبر (إنّ) مرفوع,أسد,فَعَل,
23,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,0,غَابَ,FIIL,مَبْنِي,,فعل ماضٍ,غوب,فَالَ,
23,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,1,زَيْدٌ,ISM_MUARAB,مَرْفُوع,ضمة,فاعل مرفوع,زيد,فَعْلٌ,
23,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,2,لَكِنَّ,HARF,مَبْنِي,,حرف,,,HARF
23,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,3,عَمْرًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم (لَكِنَّ) منصوب,عمر,فَعْلًا,
23,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,4,حَاضِرٌ,ISM_MUARAB,مَرْفُوع,ضمة,خبر (إنّ) مرفوع,حضر,فَاعِل,
24,لَيْتَ زَيْدًا طَائِرًا,0,لَيْتَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,
24,لَيْتَ زَيْدًا طَائِرًا,1,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,زدا,فَيْعِل,
24,لَيْتَ زَيْدًا طَائِرًا,2,طَائِرًا,ISM_MUARAB,مَنْصُوب,فتحة,نعت منصوب,طور,فَائِلًا,
25,لَعَلَّ السُّلْطَانَ عَادِلٌ,0,لَعَلَّ,HARF,مَبْنِي,,حرف,,,HARF
25,لَعَلَّ السُّلْطَانَ عَادِلٌ,1,السُّلْطَانَ,ISM_MUARAB,مَرْفُوع,ألف,مبتدأ مرفوع,سلط,فُعْلَان,
25,لَعَلَّ السُّلْطَانَ عَادِلٌ,2,عَادِلٌ,ISM_MUARAB,مَرْفُوع,ضمة,خبر مرفوع,عدل,فَاعِل,
26,مَا زَيْدٌ ذَاهِبًا,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL
26,مَا زَيْدٌ ذَاهِبًا,1,زَيْدٌ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,زيد,فَعْلٌ,
26,مَا زَيْدٌ ذَاهِبًا,2,ذَاهِبًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,ذهب,فَاعِل,
27,لَا رَجُلَ مُسَافِرًا,0,لَا,HARF,مَبْنِي,,حرف جزم,,,HARF_JAZM
27,لَا رَجُلَ مُسَافِرًا,1,رَجُلَ,JAMID,مَنْصُوب,فتحة,اسم منصوب,,,
27,لَا رَجُلَ مُسَافِرًا,2,مُسَافِرًا,ISM_MUARAB,مَنْصُوب,فتحة,نعت منصوب,سفر,مُفَاعِل,
28,اسْتَوَى الْمَاءُ وَالْخَشَبَةَ,0,اسْتَوَى,FIIL,مَبْنِي,,فعل ماضٍ,سوي,افْتَعَل,
28,اسْتَوَى الْمَاءُ وَالْخَشَبَةَ,1,الْمَاءُ,JAMID,مَرْفُوع,ضمة,فاعل مرفوع,,,
28,اسْتَوَى الْمَاءُ وَالْخَشَبَةَ,2,وَالْخَشَبَةَ,ISM_MUARAB,مَنْصُوب,فتحة,مفعول به منصوب,خشب,فَعَلَة,
29,قَامَ الْقَوْمُ إِلَّا زَيْدًا,0,قَامَ,FIIL,مَبْنِي,,فعل ماضٍ,قوم,فَالَ,
29,قَامَ الْقَوْمُ إِلَّا زَيْدًا,1,الْقَوْمُ,JAMID,مَرْفُوع,ضمة,فاعل مرفوع,,,
29,قَامَ الْقَوْمُ إِلَّا زَيْدًا,2,إِلَّا,HARF,مَبْنِي,,حرف,,,HARF
29,قَامَ الْقَوْمُ إِلَّا زَيْدًا,3,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,مفعول به منصوب,زدا,فَيْعِل,
30,يَا رَسُولَ اللَّهِ,0,يَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,
30,يَا رَسُولَ اللَّهِ,1,رَسُولَ,JAMID,مَنْصُوب,فتحة,اسم منصوب,,,
30,يَا رَسُولَ اللَّهِ,2,اللَّهِ,JALALAH,مَجْرُور,كسرة,مضاف إليه مجرور,ءله,,
31,أَيَّا جَمَّا ذَنْبَهُ,0,أَيَّا,UNKNOWN,,,,—,—,
31,أَيَّا جَمَّا ذَنْبَهُ,1,جَمَّا,ISM_MUARAB,,,اسم,جما,فَعَّل,
31,أَيَّا جَمَّا ذَنْبَهُ,2,ذَنْبَهُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,ذنب,فَعْلَهُ,
32,هَيَّا نَاسِيًا نِعْمَةَ اللَّهِ,0,هَيَّا,UNKNOWN,,,,—,—,
32,هَيَّا نَاسِيًا نِعْمَةَ اللَّهِ,1,نَاسِيًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,نسا,فَاعِيلٌ,
32,هَيَّا نَاسِيًا نِعْمَةَ اللَّهِ,2,نِعْمَةَ,ISM_MUARAB,مَنْصُوب,فتحة,نعت منصوب,نعم,فِعْلَة,
32,هَيَّا نَاسِيًا نِعْمَةَ اللَّهِ,3,اللَّهِ,JALALAH,مَجْرُور,كسرة,مضاف إليه مجرور,ءله,,
33,أَيَّ تَائِبًا إِلَى رَبِّهِ,0,أَيَّ,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MABNI_GENERIC
